repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,coverage_judged,coverage_score,total_facts,missing_facts,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,text_overlap_scored,bleu4,rouge_l,meteor,bertscore_f1,quality_judged,quality_mean_score,quality_completeness,quality_conciseness,quality_correctness,quality_cohesiveness,quality_domain_specificity,failure_tags,summary_text,missing_facts_list,unsupported_claims_list,facts_by_category,error
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,granite-code:8b-instruct,raw,success,62757,6785,179,0.0,gemma2:9b,False,True,0.2,10,2,True,0.4242,33,19,True,1.0,1.0,0.1,0.7,False,,,,,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint","{
  ""overview"": ""This repository is a Node.js application that provides an API for managing a list of books. The application uses Express.js for the server, Mongoose for the database, and JWT for authentication. The application also includes email confirmation and password encryption using bcrypt."",
  ""tech_stack"": [
    ""JavaScript"",
    ""Node.js"",
    ""Express.js"",
    ""Mongoose"",
    ""JWT"",
    ""Bcrypt""
  ],
  ""services"": [
    ""HTTP server"",
    ""API endpoints for user authentication and book management""
  ],
  ""dependencies"": [
    ""express"",
    ""mongoose"",
    ""cookie-parser"",
    ""morgan"",
    ""dotenv"",
    ""cors"",
    ""jsonwebtoken"",
    ""nodemailer"",
    ""express-validator"",
    ""bcrypt""
  ]
}
","[""Framework: express ~4.16.0"", ""Dependency: codacy-coverage"", ""Dependency: debug"", ""Dependency: chai"", ""Dependency: chai-http"", ""Dependency: eslint"", ""Dependency: mocha"", ""Dependency: nodemon"", ""Dependency: nyc"", ""Endpoint: POST /api/auth/login"", ""Endpoint: POST /api/auth/register"", ""Endpoint: POST /api/auth/verify-otp"", ""Endpoint: POST /api/auth/resend-verify-otp"", ""Endpoint: GET /api/book/:id"", ""Endpoint: GET /api/book"", ""Endpoint: POST /api/book"", ""Endpoint: PUT /api/book/:id"", ""Endpoint: DELETE /api/book/:id"", ""Endpoint: GET /""]","[""Mongoose"", ""JWT""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 21, ""Endpoint"": 10}",
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,granite-code:8b-instruct,dependency_graph,success,24151,684,180,0.0,gemma2:9b,False,True,0.125,8,1,True,0.9091,33,3,True,1.0,1.0,0.1,0.7,False,,,,,False,,,,,,,"fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency","{
 ""overview"": ""This repository is a Node.js application that provides an API for managing books and authentication. It uses Express.js for routing, JWT for authentication, and Mongoose for MongoDB data modeling."",
 ""tech_stack"": [""Node.js"", ""Express.js"", ""JWT"", ""Mongoose""],
 ""services"": [""HTTP server"", ""API endpoint for books"", ""API endpoint for authentication""],
 ""dependencies"": [""bcrypt"", ""chai"", ""chai-http"", ""codacy-coverage"", ""cookie-parser"", ""cors"", ""debug"", ""dotenv"", ""eslint"", ""express"", ""express-jwt"", ""express-validator"", ""jsonwebtoken"", ""mocha"", ""mocha-lcov-reporter"", ""moment"", ""mongoose"", ""morgan"", ""nodemailer"", ""nodemon"", ""nyc""]
}
","[""Framework: express ~4.16.0"", ""Language: javascript"", ""Dependency: express""]","[""Mongoose""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 21, ""Endpoint"": 10}",
rest-api-nodejs-mongodb,https://github.com/maitraysuthar/rest-api-nodejs-mongodb,express,granite-code:8b-instruct,knowledge_graph,success,26428,779,224,0.0,gemma2:9b,False,True,0.3636,22,8,True,0.9091,33,3,True,1.0,1.0,0.1,0.7,False,,,,,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency","{
 ""overview"": ""This repository is a Node.js Express application for managing books and authentication."",
 ""tech_stack"": [""Node.js"", ""Express"", ""JWT"", ""bcrypt"", ""mocha"", ""chai"", ""chai-http"", ""codacy-coverage"", ""cookie-parser"", ""cors"", ""debug"", ""dotenv"", ""eslint"", ""express-jwt"", ""express-validator"", ""jsonwebtoken"", ""mocha"", ""mocha-lcov-reporter"", ""moment"", ""mongoose"", ""morgan"", ""nodemailer"", ""nodemon"", ""nyc""],
 ""services"": [""HTTP server""],
 ""dependencies"": [""bcrypt"", ""chai"", ""chai-http"", ""codacy-coverage"", ""cookie-parser"", ""cors"", ""debug"", ""dotenv"", ""eslint"", ""express"", ""express-jwt"", ""express-validator"", ""jsonwebtoken"", ""mocha"", ""mocha-lcov-reporter"", ""moment"", ""mongoose"", ""morgan"", ""nodemailer"", ""nodemon"", ""nyc""]
}
","[""Framework: express ~4.16.0"", ""Language: javascript"", ""Dependency: jsonwebtoken""]","[""JWT"", ""mocha"", ""mocha-lcov-reporter"", ""moment"", ""mongoose"", ""nodemailer"", ""nodemon"", ""nyc""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 21, ""Endpoint"": 10}",
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,granite-code:8b-instruct,raw,success,69193,5796,187,0.0,gemma2:9b,False,True,0.3,10,3,True,0.2162,37,29,True,1.0,0.1905,1.0,0.7302,False,,,,,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint","{
  ""overview"": ""This repository is a Node.js application that provides authentication and authorization services for a web application. It uses Express.js for the server, JWT for authentication, and a custom database for user management. The application also includes middleware for error handling and CORS. The repository is structured with separate files for configuration, controllers, helpers, middleware, models, migrations, and seeders."",
  ""tech_stack"": [
    ""Node.js"",
    ""Express.js"",
    ""JWT"",
    ""Sequelize"",
    ""MySQL""
  ],
  ""services"": [
    ""HTTP server"",
    ""Authentication and authorization services"",
    ""User management""
  ],
  ""dependencies"": [
    ""express"",
    ""jsonwebtoken"",
    ""sequelize"",
    ""mysql2"",
    ""dotenv"",
    ""cors"",
    ""body-parser"",
    ""axios""
  ]
}
","[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: @babel/preset-env"", ""Dependency: @babel/register"", ""Dependency: @babel/runtime"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/plugin-transform-runtime"", ""Dependency: babel-loader"", ""Dependency: cluster"", ""Dependency: crypto"", ""Dependency: express-joi-validator"", ""Dependency: express-validation"", ""Dependency: http"", ""Dependency: jest"", ""Dependency: joi"", ""Dependency: mock-express-response"", ""Dependency: nodemon"", ""Dependency: os"", ""Dependency: sequelize-cli"", ""Dependency: babel-jest"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Endpoint: GET /allUsers"", ""Endpoint: GET /me"", ""Endpoint: POST /changePassword"", ""Endpoint: POST /login"", ""Endpoint: POST /register""]","[""JWT"", ""Sequelize"", ""MySQL""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 30, ""Endpoint"": 5}",
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,granite-code:8b-instruct,dependency_graph,success,33335,966,222,0.0,gemma2:9b,False,True,0.3333,9,3,True,0.0,37,37,True,1.0,0.1905,1.0,0.7302,False,,,,,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,over_generic","{
 ""overview"": ""This repository is a Node.js application that provides an API for managing user accounts and authentication."",
 ""tech_stack"": [""Node.js"", ""Express"", ""Sequelize"", ""JWT"", ""Joi"", ""Axios""],
 ""services"": [""HTTP server""],
 ""dependencies"": [""@babel/core"", ""@babel/plugin-proposal-object-rest-spread"", ""@babel/plugin-transform-runtime"", ""@babel/preset-env"", ""@babel/register"", ""@babel/runtime"", ""axios"", ""babel-jest"", ""babel-loader"", ""body-parser"", ""cluster"", ""cors"", ""crypto"", ""dotenv"", ""eslint"", ""eslint-config-airbnb-base"", ""eslint-plugin-import"", ""express"", ""express-joi-validator"", ""express-validation"", ""http"", ""jest"", ""joi"", ""jsonwebtoken"", ""mock-express-response"", ""mysql2"", ""nodemon"", ""os"", ""sequelize"", ""sequelize-cli""]
}
","[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/plugin-transform-runtime"", ""Dependency: @babel/preset-env"", ""Dependency: @babel/register"", ""Dependency: @babel/runtime"", ""Dependency: axios"", ""Dependency: babel-loader"", ""Dependency: body-parser"", ""Dependency: cluster"", ""Dependency: cors"", ""Dependency: crypto"", ""Dependency: dotenv"", ""Dependency: express"", ""Dependency: express-joi-validator"", ""Dependency: express-validation"", ""Dependency: http"", ""Dependency: jest"", ""Dependency: joi"", ""Dependency: jsonwebtoken"", ""Dependency: mock-express-response"", ""Dependency: mysql2"", ""Dependency: nodemon"", ""Dependency: os"", ""Dependency: sequelize"", ""Dependency: sequelize-cli"", ""Dependency: babel-jest"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Endpoint: GET /allUsers"", ""Endpoint: GET /me"", ""Endpoint: POST /changePassword"", ""Endpoint: POST /login"", ""Endpoint: POST /register""]","[""Sequelize"", ""JWT"", ""mysql2""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 30, ""Endpoint"": 5}",
express-sequelize-api-boilerplate,https://github.com/binitghetiya/express-sequelize-api-boilerplate,express,granite-code:8b-instruct,knowledge_graph,success,27070,853,227,0.0,gemma2:9b,False,True,0.1818,11,2,True,0.0,37,37,True,1.0,0.1905,1.0,0.7302,False,,,,,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint","{
 ""overview"": ""This repository is a Node.js application using the Express framework for building a web API."",
 ""tech_stack"": [""Node.js"", ""Express"", ""Joi"", ""JWT"", ""Axios"", ""Sequelize"", ""dotenv"", ""eslint""],
 ""services"": [""HTTP server""],
 ""dependencies"": [""@babel/core"", ""@babel/plugin-proposal-object-rest-spread"", ""@babel/plugin-transform-runtime"", ""@babel/preset-env"", ""@babel/register"", ""@babel/runtime"", ""axios"", ""babel-jest"", ""babel-loader"", ""body-parser"", ""cluster"", ""cors"", ""crypto"", ""dotenv"", ""eslint"", ""eslint-config-airbnb-base"", ""eslint-plugin-import"", ""express"", ""express-joi-validator"", ""express-validation"", ""http"", ""jest"", ""joi"", ""jsonwebtoken"", ""mock-express-response"", ""mysql2"", ""nodemon"", ""os"", ""sequelize"", ""sequelize-cli""]
}
","[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/plugin-transform-runtime"", ""Dependency: @babel/preset-env"", ""Dependency: @babel/register"", ""Dependency: @babel/runtime"", ""Dependency: axios"", ""Dependency: babel-loader"", ""Dependency: body-parser"", ""Dependency: cluster"", ""Dependency: cors"", ""Dependency: crypto"", ""Dependency: dotenv"", ""Dependency: express"", ""Dependency: express-joi-validator"", ""Dependency: express-validation"", ""Dependency: http"", ""Dependency: jest"", ""Dependency: joi"", ""Dependency: jsonwebtoken"", ""Dependency: mock-express-response"", ""Dependency: mysql2"", ""Dependency: nodemon"", ""Dependency: os"", ""Dependency: sequelize"", ""Dependency: sequelize-cli"", ""Dependency: babel-jest"", ""Dependency: eslint"", ""Dependency: eslint-config-airbnb-base"", ""Dependency: eslint-plugin-import"", ""Endpoint: GET /allUsers"", ""Endpoint: GET /me"", ""Endpoint: POST /changePassword"", ""Endpoint: POST /login"", ""Endpoint: POST /register""]","[""JWT"", ""Sequelize""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 30, ""Endpoint"": 5}",
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,granite-code:8b-instruct,raw,success,40210,4155,102,0.0,gemma2:9b,False,True,0.4286,7,3,True,0.1731,52,43,True,1.0,0.16,0.1818,0.4473,False,,,,,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,over_generic","{
  ""overview"": ""This repository is a Node.js application that provides a REST API for managing items and lists. The application uses MongoDB as the database and implements authentication and authorization using JSON Web Tokens (JWTs)."",
  ""tech_stack"": [
    ""Node.js"",
    ""Express"",
    ""MongoDB"",
    ""JWT"",
    ""mongoose"",
    ""bcrypt""
  ],
  ""services"": [
    ""HTTP server""
  ],
  ""dependencies"": []
}
","[""Framework: express ^4.16.4"", ""Language: javascript"", ""Dependency: body-parser"", ""Dependency: cors"", ""Dependency: cuid"", ""Dependency: dotenv"", ""Dependency: jsonwebtoken"", ""Dependency: lodash"", ""Dependency: morgan"", ""Dependency: validator"", ""Dependency: @babel/cli"", ""Dependency: @babel/core"", ""Dependency: @babel/plugin-proposal-class-properties"", ""Dependency: @babel/plugin-proposal-object-rest-spread"", ""Dependency: @babel/preset-env"", ""Dependency: babel-core"", ""Dependency: babel-eslint"", ""Dependency: babel-jest"", ""Dependency: eslint"", ""Dependency: eslint-config-prettier"", ""Dependency: eslint-config-standard"", ""Dependency: eslint-friendly-formatter"", ""Dependency: eslint-loader"", ""Dependency: eslint-plugin-import"", ""Dependency: eslint-plugin-jest"", ""Dependency: eslint-plugin-node"", ""Dependency: eslint-plugin-prettier"", ""Dependency: eslint-plugin-promise"", ""Dependency: eslint-plugin-standard"", ""Dependency: jest"", ""Dependency: mock-req-res"", ""Dependency: nodemon"", ""Dependency: prettier"", ""Dependency: rimraf"", ""Dependency: supertest"", ""Endpoint: DELETE /:id"", ""Endpoint: GET /"", ""Endpoint: POST /"", ""Endpoint: PUT /:id"", ""Endpoint: GET /:id"", ""Endpoint: PUT /"", ""Endpoint: POST /signup"", ""Endpoint: POST /signin""]","[""MongoDB"", ""JSON Web Tokens (JWTs)"", ""mongoose""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 36, ""Endpoint"": 14}",
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,granite-code:8b-instruct,dependency_graph,success,35363,1045,278,0.0,gemma2:9b,False,True,0.2,10,2,True,1.0,52,0,True,1.0,0.16,0.1818,0.4473,False,,,,,False,,,,,,,"fabricated_technology,fabricated_technology,over_generic","{
 ""overview"": ""This repository is a Node.js server that provides a RESTful API for managing a list of items. It uses MongoDB as the database and implements authentication and authorization using JSON Web Tokens (JWTs)."",
 ""tech_stack"": [""Node.js"", ""Express"", ""MongoDB"", ""JWTs""],
 ""services"": [""HTTP server""],
 ""dependencies"": [""@babel/cli"", ""@babel/core"", ""@babel/plugin-proposal-class-properties"", ""@babel/plugin-proposal-object-rest-spread"", ""@babel/preset-env"", ""babel-core"", ""babel-eslint"", ""babel-jest"", ""bcrypt"", ""body-parser"", ""cors"", ""cuid"", ""dotenv"", ""eslint"", ""eslint-config-prettier"", ""eslint-config-standard"", ""eslint-friendly-formatter"", ""eslint-loader"", ""eslint-plugin-import"", ""eslint-plugin-jest"", ""eslint-plugin-node"", ""eslint-plugin-prettier"", ""eslint-plugin-promise"", ""eslint-plugin-standard"", ""express"", ""jest"", ""jsonwebtoken"", ""lodash"", ""mock-req-res"", ""mongoose"", ""morgan"", ""nodemon"", ""prettier"", ""rimraf"", ""supertest"", ""validator""]
}
",[],"[""MongoDB"", ""JSON Web Tokens (JWTs)""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 36, ""Endpoint"": 14}",
api-design-node-v3,https://github.com/FrontendMasters/api-design-node-v3,express,granite-code:8b-instruct,knowledge_graph,success,36873,919,307,0.0,gemma2:9b,False,True,0.1,10,1,True,1.0,52,0,True,1.0,0.16,0.1818,0.4473,False,,,,,False,,,,,,,fabricated_technology,"{
 ""overview"": ""This repository is a Node.js Express server with a focus on RESTful API development."",
 ""tech_stack"": [
 ""Node.js"",
 ""Express"",
 ""JWT"",
 ""mongoose"",
 ""validator""
 ],
 ""services"": [
 ""HTTP server""
 ],
 ""dependencies"": [
 ""@babel/cli"",
 ""@babel/core"",
 ""@babel/plugin-proposal-class-properties"",
 ""@babel/plugin-proposal-object-rest-spread"",
 ""@babel/preset-env"",
 ""babel-core"",
 ""babel-eslint"",
 ""babel-jest"",
 ""bcrypt"",
 ""body-parser"",
 ""cors"",
 ""cuid"",
 ""dotenv"",
 ""eslint"",
 ""eslint-config-prettier"",
 ""eslint-config-standard"",
 ""eslint-friendly-formatter"",
 ""eslint-loader"",
 ""eslint-plugin-import"",
 ""eslint-plugin-jest"",
 ""eslint-plugin-node"",
 ""eslint-plugin-prettier"",
 ""eslint-plugin-promise"",
 ""eslint-plugin-standard"",
 ""express"",
 ""jest"",
 ""jsonwebtoken"",
 ""lodash"",
 ""mock-req-res"",
 ""mongoose"",
 ""morgan"",
 ""nodemon"",
 ""prettier"",
 ""rimraf"",
 ""supertest"",
 ""validator""
 ]
}
",[],"[""JWT""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 36, ""Endpoint"": 14}",
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,granite-code:8b-instruct,raw,success,70238,6552,136,0.0,gemma2:9b,False,True,0.2857,7,2,True,0.0,82,82,True,1.0,0.1765,1.0,0.7255,False,,,,,False,,,,,,,"fabricated_technology,fabricated_technology,missed_framework_or_language,missed_framework_or_language,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_dependency,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service,missed_class_or_service","{
  ""overview"": ""This repository is a Node.js application that implements the RealWorld API specification. It uses NestJS, TypeORM, and Swagger for the backend, and SQLite for the database. The application provides endpoints for creating, updating, and deleting articles, as well as for getting article feeds and comments. It also includes endpoints for user authentication and profile management."",
  ""tech_stack"": [
    ""Node.js"",
    ""NestJS"",
    ""TypeORM"",
    ""SQLite"",
    ""Swagger""
  ],
  ""services"": [
    ""HTTP server"",
    ""Background worker""
  ],
  ""dependencies"": []
}
","[""Framework: nestjs ^7.0.5"", ""Language: typescript"", ""Dependency: @nestjs/common"", ""Dependency: @nestjs/core"", ""Dependency: @nestjs/microservices"", ""Dependency: @nestjs/platform-express"", ""Dependency: @nestjs/swagger"", ""Dependency: @nestjs/testing"", ""Dependency: @nestjs/typeorm"", ""Dependency: @nestjs/websockets"", ""Dependency: argon2"", ""Dependency: class-transformer"", ""Dependency: class-validator"", ""Dependency: crypto"", ""Dependency: crypto-js"", ""Dependency: jsonwebtoken"", ""Dependency: mysql"", ""Dependency: passport-jwt"", ""Dependency: reflect-metadata"", ""Dependency: rxjs"", ""Dependency: slug"", ""Dependency: swagger-ui-express"", ""Dependency: typeorm"", ""Dependency: typescript"", ""Dependency: @types/jest"", ""Dependency: @types/node"", ""Dependency: atob"", ""Dependency: deep-extend"", ""Dependency: extend"", ""Dependency: jest"", ""Dependency: nodemon"", ""Dependency: supertest"", ""Dependency: ts-jest"", ""Dependency: ts-node"", ""Endpoint: GET /"", ""Endpoint: GET /articles"", ""Endpoint: GET /articles/feed"", ""Endpoint: GET /articles/:slug"", ""Endpoint: GET /articles/:slug/comments"", ""Endpoint: POST /articles"", ""Endpoint: PUT /articles/:slug"", ""Endpoint: DELETE /articles/:slug"", ""Endpoint: POST /articles/:slug/comments"", ""Endpoint: DELETE /articles/:slug/comments/:id"", ""Endpoint: POST /articles/:slug/favorite"", ""Endpoint: DELETE /articles/:slug/favorite"", ""Endpoint: GET /profiles/:username"", ""Endpoint: POST /profiles/:username/follow"", ""Endpoint: DELETE /profiles/:username/follow"", ""Endpoint: GET /tags"", ""Endpoint: GET /user"", ""Endpoint: PUT /user"", ""Endpoint: POST /users"", ""Endpoint: DELETE /users/:slug"", ""Endpoint: POST /users/login"", ""Class/Service: AppController"", ""Class/Service: ApplicationModule"", ""Class/Service: ArticleController"", ""Class/Service: ArticleEntity"", ""Class/Service: ArticleModule"", ""Class/Service: ArticleService"", ""Class/Service: Comment"", ""Class/Service: CreateArticleDto"", ""Class/Service: CreateCommentDto"", ""Class/Service: FollowsEntity"", ""Class/Service: ProfileController"", ""Class/Service: ProfileModule"", ""Class/Service: ProfileService"", ""Class/Service: BaseController"", ""Class/Service: ValidationPipe"", ""Class/Service: TagController"", ""Class/Service: TagEntity"", ""Class/Service: TagModule"", ""Class/Service: TagService"", ""Class/Service: AuthMiddleware"", ""Class/Service: CreateUserDto"", ""Class/Service: LoginUserDto"", ""Class/Service: UpdateUserDto"", ""Class/Service: UserController"", ""Class/Service: UserEntity"", ""Class/Service: UserModule"", ""Class/Service: UserService""]","[""SQLite"", ""Background worker""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 32, ""Endpoint"": 21, ""Class/Service"": 27}",
